Payment,Product line,Invoice ID,Branch,City,Customer type,Gender,Unit price,Quantity,Tax 5%,Total,date,Time,cogs,gross income,Rating,day_of_week,hour,profit_margin,rush_hour,spending_category,rating_sentiment,avg_product_rating,total_revenue,avg_transaction,num_transactions
Cash,Fashion accessories,563917120,a,yangon,Normal,female,6177,5,154425,3242925,20190308,1321,30885,154425,67,6,13,00476190463587115,yes,medium,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Credit card,Electronic accessories,633093463,c,naypyitaw,Normal,female,4765,3,71475,1500975,20190328,1258,14295,71475,95,5,12,004761904671137637,yes,medium,positive,69.24705882352941,2.70194988E8,868794.1736334405,311
Cash,Food and beverages,689169784,c,naypyitaw,Normal,male,4677,6,14031,294651,20190311,1337,28062,14031,60,2,13,0047619047927297466,yes,medium,neutral,71.13218390804597,3.10603461E8,902917.0377906977,344
Cash,Electronic accessories,676396028,a,yangon,Member,female,6444,5,1611,33831,20190330,1704,3222,1611,66,7,17,004761904976680857,yes,medium,neutral,69.24705882352941,3.10603461E8,902917.0377906977,344
Cash,Sports and travel,816728853,a,yangon,Member,female,2793,5,69825,1466325,20190129,1548,13965,69825,59,3,15,0047619045760807714,no,medium,neutral,69.16265060240964,3.10603461E8,902917.0377906977,344
Cash,Fashion accessories,191106171,b,mandalay,Normal,female,3962,7,13867,291207,20190125,1318,27734,13867,75,6,13,0047619046215518296,yes,medium,positive,70.29213483146067,3.10603461E8,902917.0377906977,344
Credit card,Home and lifestyle,144516085,a,yangon,Member,male,7074,4,14148,297108,20190105,1605,28296,14148,44,7,16,0047619046549095156,no,medium,neutral,68.375,2.70194988E8,868794.1736334405,311
Credit card,Fashion accessories,261128671,b,mandalay,Normal,female,6096,2,6096,128016,20190125,1939,12192,6096,49,6,19,0047619046732184644,no,medium,neutral,70.29213483146067,2.70194988E8,868794.1736334405,311
Cash,Health and beauty,133147229,c,naypyitaw,Normal,male,6287,2,6287,132027,20190101,1143,12574,6287,50,3,11,004761905157467979,no,medium,neutral,70.03289473684211,3.10603461E8,902917.0377906977,344
Ewallet,Food and beverages,832516761,a,yangon,Normal,male,3388,8,13552,284592,20190119,2029,27104,13552,96,7,20,0047619046023322474,no,medium,positive,71.13218390804597,2.96273397E8,858763.4695652174,345
Ewallet,Sports and travel,852822749,a,yangon,Normal,male,6459,4,12918,271278,20190106,1335,25836,12918,93,1,13,0047619045777602086,yes,medium,positive,69.16265060240964,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,544325024,c,naypyitaw,Member,female,4979,4,9958,209118,20190328,1916,19916,9958,64,5,19,004761904935636582,no,medium,neutral,71.13218390804597,2.70194988E8,868794.1736334405,311
Credit card,Health and beauty,188550967,b,mandalay,Member,male,6647,10,33235,697935,20190115,1501,6647,33235,50,3,15,004761904866013168,no,high,neutral,70.03289473684211,2.70194988E8,868794.1736334405,311
Ewallet,Electronic accessories,183213799,c,naypyitaw,Normal,female,7763,9,349335,7336035,20190219,1514,69867,349335,72,3,15,004761904440003461,no,high,positive,69.24705882352941,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,787560757,c,naypyitaw,Member,female,8036,4,16072,337512,20190223,1845,32144,16072,83,7,18,004761905004099156,yes,medium,positive,71.13218390804597,2.70194988E8,868794.1736334405,311
Cash,Food and beverages,213726612,a,yangon,Normal,male,4325,2,4325,90825,20190320,1556,865,4325,62,4,15,0047619047119041406,no,low,neutral,71.13218390804597,3.10603461E8,902917.0377906977,344
Cash,Fashion accessories,484228230,c,naypyitaw,Member,female,5189,7,181615,3813915,20190108,2008,36323,181615,45,3,20,004761904880976796,no,medium,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Cash,Electronic accessories,528875606,b,mandalay,Member,female,3948,1,1974,41454,20190212,1943,3948,1974,65,3,19,0047619048714552616,no,low,neutral,69.24705882352941,3.10603461E8,902917.0377906977,344
Ewallet,Sports and travel,182527000,a,yangon,Member,female,2704,4,5408,113568,20190101,2026,10816,5408,69,3,20,00476190472191721,no,medium,neutral,69.16265060240964,2.96273397E8,858763.4695652174,345
Ewallet,Home and lifestyle,775721988,b,mandalay,Normal,male,7328,5,1832,38472,20190124,1505,3664,1832,84,5,15,004761904667471278,no,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Credit card,Sports and travel,815046282,c,naypyitaw,Member,female,6497,5,162425,3410925,20190208,1252,32485,162425,65,6,12,0047619048684167796,yes,medium,neutral,69.16265060240964,2.70194988E8,868794.1736334405,311
Ewallet,Home and lifestyle,848956252,c,naypyitaw,Member,female,8627,1,43135,905835,20190220,1324,8627,43135,70,4,13,004761904486168193,yes,low,neutral,68.375,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,176781170,c,naypyitaw,Member,male,3381,3,50715,1065015,20190126,1511,10143,50715,73,7,15,004761904463419361,no,medium,positive,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Health and beauty,249423782,a,yangon,Normal,male,7001,5,175025,3675525,20190103,1136,35005,175025,55,5,11,004761905033726449,no,medium,neutral,70.03289473684211,2.96273397E8,858763.4695652174,345
Ewallet,Food and beverages,146095432,a,yangon,Member,male,3504,9,15768,331128,20190209,1917,31536,15768,46,7,19,0047619047893340725,no,medium,neutral,71.13218390804597,2.96273397E8,858763.4695652174,345
Credit card,Food and beverages,374173652,b,mandalay,Member,female,4282,9,19269,404649,20190205,1526,38538,19269,89,3,15,0047619046945677895,no,medium,positive,71.13218390804597,2.70194988E8,868794.1736334405,311
Cash,Electronic accessories,320496392,c,naypyitaw,Normal,female,3024,1,1512,31752,20190304,1544,3024,1512,84,2,15,004761904529490347,no,low,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Credit card,Food and beverages,862179201,b,mandalay,Normal,female,8405,6,25215,529515,20190129,1048,5043,25215,77,3,10,004761904658988558,no,high,positive,71.13218390804597,2.70194988E8,868794.1736334405,311
Cash,Electronic accessories,831816575,b,mandalay,Member,female,7559,9,340155,7143255,20190223,1112,68031,340155,80,7,11,0047619046347552686,no,high,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Credit card,Fashion accessories,760539233,a,yangon,Member,male,4128,3,6192,130032,20190326,1837,12384,6192,85,3,18,0047619047793670266,yes,medium,positive,70.29213483146067,2.70194988E8,868794.1736334405,311
Cash,Home and lifestyle,106356779,a,yangon,Member,male,4434,2,4434,93114,20190327,1126,8868,4434,58,4,11,004761904859447695,no,low,neutral,68.375,3.10603461E8,902917.0377906977,344
Ewallet,Sports and travel,549847482,b,mandalay,Normal,female,9028,9,40626,853146,20190208,1115,81252,40626,72,6,11,004761904719320667,no,high,positive,69.16265060240964,2.96273397E8,858763.4695652174,345
Cash,Electronic accessories,189520236,a,yangon,Normal,male,9955,7,348425,7316925,20190314,1207,69685,348425,76,5,12,004761904563294281,yes,high,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Cash,Health and beauty,227503718,a,yangon,Normal,male,1462,5,3655,76755,20190304,1223,731,3655,44,2,12,004761904895028851,yes,low,neutral,70.03289473684211,3.10603461E8,902917.0377906977,344
Credit card,Fashion accessories,247112470,a,yangon,Member,female,2232,4,4464,93744,20190301,1623,8928,4464,44,6,16,00476190483457031,no,low,neutral,70.29213483146067,2.70194988E8,868794.1736334405,311
Ewallet,Sports and travel,373140504,a,yangon,Member,female,7163,2,7163,150423,20190212,1433,14326,7163,88,3,14,004761904701524286,no,medium,positive,69.16265060240964,2.96273397E8,858763.4695652174,345
Ewallet,Fashion accessories,288621085,a,yangon,Member,male,3854,5,9635,202335,20190109,1334,1927,9635,56,4,13,0047619047170157795,yes,medium,neutral,70.29213483146067,2.96273397E8,858763.4695652174,345
Credit card,Electronic accessories,182698360,b,mandalay,Normal,female,2365,4,473,9933,20190130,1332,946,473,40,4,13,0047619046933256894,yes,low,negative,69.24705882352941,2.70194988E8,868794.1736334405,311
Credit card,Fashion accessories,286757818,b,mandalay,Normal,male,6908,2,6908,145068,20190131,1948,13816,6908,69,5,19,004761904981037481,no,medium,neutral,70.29213483146067,2.70194988E8,868794.1736334405,311
Cash,Sports and travel,150898043,a,yangon,Normal,male,4465,3,66975,1406475,20190214,1504,13395,66975,62,5,15,0047619046973276305,no,medium,neutral,69.16265060240964,3.10603461E8,902917.0377906977,344
Cash,Electronic accessories,740222500,c,naypyitaw,Normal,female,8405,3,126075,2647575,20190123,1329,25215,126075,98,4,13,004761904658988558,yes,medium,positive,69.24705882352941,3.10603461E8,902917.0377906977,344
Credit card,Sports and travel,394303170,b,mandalay,Member,female,8843,8,35372,742812,20190322,1935,70744,35372,43,6,19,004761904908632802,no,high,neutral,69.16265060240964,2.70194988E8,868794.1736334405,311
Credit card,Sports and travel,541488554,a,yangon,Normal,male,6095,9,274275,5759775,20190107,1208,54855,274275,60,2,12,004761904903826132,yes,high,neutral,69.16265060240964,2.70194988E8,868794.1736334405,311
Ewallet,Home and lifestyle,401094232,c,naypyitaw,Member,male,8669,5,216725,4551225,20190211,1838,43345,216725,94,2,18,004761904921556066,yes,medium,positive,68.375,2.96273397E8,858763.4695652174,345
Cash,Fashion accessories,796122025,c,naypyitaw,Normal,male,6212,10,3106,65226,20190211,1619,6212,3106,59,2,16,004761904608731585,no,high,neutral,70.29213483146067,3.10603461E8,902917.0377906977,344
Ewallet,Home and lifestyle,731142199,a,yangon,Member,female,3554,10,1777,37317,20190104,1334,3554,1777,70,6,13,004761904713226614,yes,medium,neutral,68.375,2.96273397E8,858763.4695652174,345
Cash,Home and lifestyle,640485028,b,mandalay,Member,female,8839,9,397755,8352855,20190302,1240,79551,397755,63,7,12,0047619047836520864,yes,high,neutral,68.375,3.10603461E8,902917.0377906977,344
